period_label,Year,Week,t,avgwaiting_time,baseline_waiting_time_ma12,deviation,flag_percentile_p90,flag_iqr,flag_ma_deviation,flag_robust_zscore_mad,n_methods_flagged,disruption_flag,detection_method
2022-W27,2022.0,27.0,184,8.0,8.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W28,2022.0,28.0,185,10.0,8.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W29,2022.0,29.0,186,10.0,8.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W30,2022.0,30.0,187,9.0,8.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W31,2022.0,31.0,188,8.0,8.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W32,2022.0,32.0,189,10.0,9.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W33,2022.0,33.0,190,8.0,9.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W34,2022.0,34.0,191,7.0,9.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W35,2022.0,35.0,192,6.0,9.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2022-W36,2022.0,36.0,193,6.0,9.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2022-W37,2022.0,37.0,194,6.0,8.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W38,2022.0,38.0,195,9.0,8.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W39,2022.0,39.0,196,7.0,8.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W40,2022.0,40.0,197,6.0,8.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W41,2022.0,41.0,198,10.0,8.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W42,2022.0,42.0,199,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W43,2022.0,43.0,200,9.0,7.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W44,2022.0,44.0,201,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W45,2022.0,45.0,202,7.0,7.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W46,2022.0,46.0,203,11.0,7.0,4.0,False,False,False,False,0,False,robust_zscore_mad
2022-W47,2022.0,47.0,204,6.0,7.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W48,2022.0,48.0,205,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W49,2022.0,49.0,206,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W50,2022.0,50.0,207,7.0,7.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W51,2022.0,51.0,208,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2022-W52,2022.0,52.0,209,10.0,7.0,3.0,False,False,False,False,0,False,robust_zscore_mad
